"Carimbo de data/hora","Em qual semestre você está?","Qual sua faixa etária?","Você tem formação em outra área?","Qual(is) sua(s) outra(s) área(s) de formação?","Você sente/sentiu alguma dificuldade ao aprender lógica de programação? ","Qual foi sua maior dificuldade?","Você acredita que um jogo interativo desenvolvido exclusivamente para o ensino de Lógica de Programação iria ajudar no aprendizado dessa disciplina?","Como você prefere aprender?","Se respondeu ""Outros"", comente:"
"2021/02/22 8:13:16 PM GMT-3","6 (ou mais)","25-35","Não","","Não","","Não","",""
"2021/02/22 8:14:14 PM GMT-3","6 (ou mais)","20-25","Sim","Humanas - gestão de recursos humanos ","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 8:15:29 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 8:18:00 PM GMT-3","3","25-35","Sim","Educação física","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 8:22:53 PM GMT-3","6 (ou mais)","25-35","Não","","Não","","Sim","",""
"2021/02/22 8:23:09 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:18:30 PM GMT-3","4","25-35","Sim","Publicidade e propaganda","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 9:28:29 PM GMT-3","2","20-25","Não","","Sim","Variáveis","Não","",""
"2021/02/22 9:29:29 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:31:11 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/02/22 9:31:22 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Procedimentos","Sim","",""
"2021/02/22 9:33:33 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:33:37 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:33:53 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/02/22 9:34:59 PM GMT-3","4","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:38:07 PM GMT-3","5","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 9:40:16 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Não","",""
"2021/02/22 9:40:53 PM GMT-3","3","20-25","Não","","Não","","Sim","",""
"2021/02/22 9:49:35 PM GMT-3","4","20-25","Não","","Sim","Funções","Sim","",""
"2021/02/22 9:52:57 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/02/22 9:59:23 PM GMT-3","3","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/02/22 10:05:38 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 10:08:26 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/22 10:10:24 PM GMT-3","2","25-35","Sim","Ciência da computação; pedagogia","Não","","Sim","",""
"2021/02/22 10:16:02 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/02/22 10:21:12 PM GMT-3","4","25-35","Sim","Comex e R.I","Não","","Sim","",""
"2021/02/22 10:22:52 PM GMT-3","3","20-25","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/02/22 10:32:05 PM GMT-3","5","Mais de 35","Sim","Nutrição e adm ambos técnico (2 grau)","Sim","Funções","Sim","",""
"2021/02/22 10:46:07 PM GMT-3","5","Menos de 20","Não","","Não","","Sim","",""
"2021/02/23 12:00:15 AM GMT-3","3","20-25","Não","","Sim","Variáveis","Sim","",""
"2021/02/23 12:02:30 AM GMT-3","3","20-25","Não","","Sim","Variáveis","Sim","",""
"2021/02/23 12:09:09 AM GMT-3","6 (ou mais)","25-35","Sim","Telecomunicações","Não","","Sim","",""
"2021/02/23 9:08:07 AM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/23 9:29:35 AM GMT-3","6 (ou mais)","25-35","Não","","Não","","Sim","",""
"2021/02/23 7:27:05 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/24 10:12:11 AM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/02/25 6:08:45 PM GMT-3","5","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 9:25:07 PM GMT-3","5","25-35","Sim","Tecnologia em Hidráulica e Saneamento Ambiental","Sim","Funções","Sim","",""
"2021/03/03 9:27:48 PM GMT-3","1","25-35","Sim","Logística e Administração","Sim","Funções","Sim","",""
"2021/03/03 9:27:53 PM GMT-3","5","20-25","Sim","Técnico em Eletrônica","Não","","Sim","",""
"2021/03/03 9:28:01 PM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/03/03 9:28:53 PM GMT-3","5","25-35","Sim","Geografia","Não","","Sim","",""
"2021/03/03 9:28:59 PM GMT-3","4","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 9:29:26 PM GMT-3","1","20-25","Sim","Design gráfico","Não","","Sim","",""
"2021/03/03 9:30:07 PM GMT-3","6 (ou mais)","Mais de 35","Sim","Biologia","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 9:32:43 PM GMT-3","5","25-35","Sim","Engenharia de materiais","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 9:36:17 PM GMT-3","4","Mais de 35","Sim","matemática","Não","","Não","",""
"2021/03/03 9:40:12 PM GMT-3","6 (ou mais)","25-35","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/03/03 9:46:45 PM GMT-3","6 (ou mais)","Mais de 35","Não","","Não","","Sim","",""
"2021/03/03 9:48:28 PM GMT-3","5","25-35","Não","","Não","","Sim","",""
"2021/03/03 9:53:55 PM GMT-3","5","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 10:00:22 PM GMT-3","2","Mais de 35","Sim","Logistica","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 10:03:52 PM GMT-3","2","20-25","Sim","Administração","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 10:10:07 PM GMT-3","5","25-35","Sim","Economia","Não","","Sim","",""
"2021/03/03 10:11:49 PM GMT-3","2","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 10:46:05 PM GMT-3","2","25-35","Sim","Economia ","Não","","Sim","",""
"2021/03/03 10:49:16 PM GMT-3","2","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 10:51:34 PM GMT-3","2","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 10:53:09 PM GMT-3","6 (ou mais)","25-35","Sim","Engenharia","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 11:02:02 PM GMT-3","4","20-25","Não","","Não","","Sim","",""
"2021/03/03 11:02:51 PM GMT-3","1","20-25","Não","","Não","","Sim","",""
"2021/03/03 11:03:46 PM GMT-3","5","25-35","Não","","Não","","Sim","",""
"2021/03/03 11:06:10 PM GMT-3","6 (ou mais)","25-35","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 11:09:28 PM GMT-3","5","Mais de 35","Sim","Administração","Não","","Sim","",""
"2021/03/03 11:11:07 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/03/03 11:11:38 PM GMT-3","6 (ou mais)","25-35","Sim","Química, Arquitetura e Urbanismo ","Não","","Sim","",""
"2021/03/03 11:12:53 PM GMT-3","1","25-35","Não","","Sim","Variáveis","Sim","",""
"2021/03/03 11:15:39 PM GMT-3","4","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 11:16:54 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Não","",""
"2021/03/03 11:17:15 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Funções","Não","",""
"2021/03/03 11:18:26 PM GMT-3","6 (ou mais)","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 11:18:48 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 11:20:00 PM GMT-3","3","20-25","Sim","técnico em administração, diploma em ADS ","Não","","Sim","",""
"2021/03/03 11:25:23 PM GMT-3","4","25-35","Sim","Logística ","Não","","Sim","",""
"2021/03/03 11:30:36 PM GMT-3","1","25-35","Sim","Design gráfico","Não","","Sim","",""
"2021/03/03 11:31:48 PM GMT-3","4","25-35","Sim","Administração","Sim","Funções","Sim","",""
"2021/03/03 11:32:11 PM GMT-3","2","25-35","Sim","Recursos Humanos","Sim","Variáveis","Sim","",""
"2021/03/03 11:44:18 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/03 11:51:06 PM GMT-3","6 (ou mais)","Mais de 35","Sim","Biologia e Neurociências ","Não","","Sim","",""
"2021/03/03 11:51:12 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","",""
"2021/03/03 11:53:13 PM GMT-3","5","25-35","Sim","Administração de empresas","Sim","Procedimentos","Sim","",""
"2021/03/03 11:55:15 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Funções","Sim","",""
"2021/03/03 11:56:31 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Procedimentos","Sim","",""
"2021/03/03 11:57:03 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/03/03 11:57:42 PM GMT-3","1","Menos de 20","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/03/03 11:58:17 PM GMT-3","3","Menos de 20","Não","","Sim","Procedimentos","Sim","",""
"2021/03/04 12:02:39 AM GMT-3","4","25-35","Não","","Sim","Funções","Sim","",""
"2021/03/04 12:05:00 AM GMT-3","5","25-35","Sim","Engenharia Civil ","Não","","Sim","",""
"2021/03/04 12:05:04 AM GMT-3","6 (ou mais)","Mais de 35","Sim","Tecnologia em Mecânica","Não","","Sim","",""
"2021/03/04 12:05:28 AM GMT-3","5","25-35","Sim","Administração de empresas","Não","","Sim","",""
"2021/03/04 12:05:38 AM GMT-3","4","20-25","Não","","Não","","Sim","",""
"2021/03/04 12:18:20 AM GMT-3","5","Mais de 35","Sim","Física","Não","","Sim","",""
"2021/03/04 12:24:52 AM GMT-3","2","25-35","Não","","Não","","Sim","",""
"2021/03/04 12:28:12 AM GMT-3","2","Menos de 20","Sim","Eletroeletrônica","Não","","Sim","",""
"2021/03/04 12:57:08 AM GMT-3","5","25-35","Não","","Não","","Não","",""
"2021/03/04 1:06:21 AM GMT-3","2","20-25","Sim","Redes de computadores","Não","","Sim","",""
"2021/03/04 1:10:55 AM GMT-3","1","20-25","Não","","Sim","Estruturas de decisão (if/switch)","Sim","",""
"2021/03/04 1:26:40 AM GMT-3","2","20-25","Não","","Não","","Não","",""
"2021/03/04 1:59:57 AM GMT-3","2","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/04 3:59:27 AM GMT-3","6 (ou mais)","Mais de 35","Não","","Não","","Sim","",""
"2021/03/04 6:51:11 AM GMT-3","5","20-25","Sim","Eng civil","Sim","Funções","Sim","",""
"2021/03/04 7:34:50 AM GMT-3","5","Mais de 35","Sim","Engenheiro mecânico","Não","","Sim","",""
"2021/03/04 8:01:11 AM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/04 8:20:52 AM GMT-3","1","20-25","Sim","Mecânica ","Sim","Funções","Sim","",""
"2021/03/04 8:22:08 AM GMT-3","1","Menos de 20","Não","","Não","","Sim","",""
"2021/03/04 8:34:01 AM GMT-3","4","25-35","Sim","Geografia","Não","","Sim","",""
"2021/03/04 8:35:36 AM GMT-3","5","20-25","Sim","Gestão ambiental ","Não","","Sim","",""
"2021/03/04 8:36:08 AM GMT-3","3","20-25","Não","","Não","","Sim","",""
"2021/03/04 8:38:40 AM GMT-3","5","20-25","Não","","Não","","Sim","",""
"2021/03/04 8:48:13 AM GMT-3","4","Mais de 35","Sim","Comunicação","Não","","Não","",""
"2021/03/04 8:53:20 AM GMT-3","5","Menos de 20","Não","","Não","","Sim","",""
"2021/03/04 9:11:52 AM GMT-3","1","25-35","Sim","Administração de empresas ","Não","","Sim","",""
"2021/03/04 9:16:00 AM GMT-3","6 (ou mais)","25-35","Não","","Sim","Procedimentos","Sim","",""
"2021/03/04 9:28:36 AM GMT-3","5","Mais de 35","Sim","Biologia","Não","","Sim","",""
"2021/03/04 9:44:54 AM GMT-3","1","25-35","Não","","Sim","Procedimentos","Sim","",""
"2021/03/04 10:14:57 AM GMT-3","4","25-35","Sim","Engenharia mecânica","Não","","Sim","",""
"2021/03/04 10:16:59 AM GMT-3","4","25-35","Sim","construção civil","Não","","Sim","",""
"2021/03/04 10:37:17 AM GMT-3","4","25-35","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/04 10:50:47 AM GMT-3","3","20-25","Não","","Não","","Sim","",""
"2021/03/04 11:04:32 AM GMT-3","6 (ou mais)","20-25","Não","","Sim","Funções","Sim","",""
"2021/03/04 11:13:27 AM GMT-3","6 (ou mais)","Mais de 35","Sim","Direito","Não","","Sim","",""
"2021/03/04 11:23:58 AM GMT-3","2","20-25","Sim","Técnico em informática","Não","","Não","",""
"2021/03/04 11:54:30 AM GMT-3","6 (ou mais)","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/04 12:02:11 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/03/04 12:38:27 PM GMT-3","2","25-35","Sim","Administração","Não","","Sim","",""
"2021/03/04 3:43:55 PM GMT-3","2","Menos de 20","Não","","Não","","Sim","",""
"2021/03/04 6:54:57 PM GMT-3","6 (ou mais)","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/04 9:12:43 PM GMT-3","1","Menos de 20","Não","","Sim","Variáveis","Sim","",""
"2021/03/04 9:45:24 PM GMT-3","4","25-35","Não","","Não","","Sim","",""
"2021/03/05 12:49:48 AM GMT-3","1","Menos de 20","Sim","Desenvolvimento de Sistemas (Softwares)","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/05 5:22:22 AM GMT-3","6 (ou mais)","Mais de 35","Não","","Não","","Sim","",""
"2021/03/05 10:22:44 AM GMT-3","2","20-25","Não","","Não","","Sim","",""
"2021/03/05 4:41:13 PM GMT-3","1","Menos de 20","Não","","Sim","Variáveis","Sim","",""
"2021/03/05 7:01:41 PM GMT-3","4","20-25","Não","","Não","","Sim","",""
"2021/03/05 7:17:10 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","",""
"2021/03/06 2:22:00 AM GMT-3","1","25-35","Sim","Veterinária","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/03/07 10:10:51 AM GMT-3","2","20-25","Não","","Não","","Sim","",""
"2021/03/09 12:32:01 PM GMT-3","3","25-35","Sim","engenharia mecânica","Não","","Sim","",""
"2021/03/09 12:39:58 PM GMT-3","3","20-25","Não","","Não","","Sim","",""
"2021/03/09 12:46:14 PM GMT-3","3","25-35","Sim","Educação física","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/09 12:54:03 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/03/09 1:13:10 PM GMT-3","3","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/09 1:51:09 PM GMT-3","3","25-35","Sim","Gestão empresarial","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/09 2:16:58 PM GMT-3","3","Menos de 20","Não","","Sim","Estruturas de repetição (for/while)","Sim","",""
"2021/03/09 2:37:50 PM GMT-3","4","25-35","Não","","Não","","Sim","",""
"2021/03/09 4:55:30 PM GMT-3","4","Mais de 35","Sim","Juridica","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/10 6:43:28 PM GMT-3","3","Mais de 35","Sim","Projetista Mecânico e Administração ","Sim","Arrays (vetores/matrizes)","Sim","",""
"2021/03/11 2:30:40 PM GMT-3","6 (ou mais)","20-25","Não","","Não","","Sim","",""
"2021/03/12 11:49:12 AM GMT-3","1","20-25","Sim","Tecnologia em Transporte Terrestre","Não","","Sim","",""
"2021/04/03 3:25:15 PM GMT-3","3","Menos de 20","Não","","Não","","Sim","",""
"2021/05/10 11:38:46 PM GMT-3","6 (ou mais)","25-35","Sim","Ciências Humanas;Ciências Exatas","Sim","Arrays (vetores/matrizes)","Sim","Completar frases",""
"2021/05/17 2:52:50 PM GMT-3","1","Mais de 35","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:57:35 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:57:39 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:57:41 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:57:58 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Questionário",""
"2021/05/17 2:58:03 PM GMT-3","1","Menos de 20","Não","","Sim","Funções","Sim","Questionário",""
"2021/05/17 2:58:31 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:58:37 PM GMT-3","1","20-25","Não","","Não","","Sim","Elaborar algoritmos para problemas fornecidos.","Prefiro o modelo de elaborar algoritmos para problemas sugeridos."
"2021/05/17 2:58:41 PM GMT-3","1","20-25","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:58:46 PM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:58:48 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:58:50 PM GMT-3","1","20-25","Sim","Ciências Humanas","Sim","Estruturas de repetição (for/while)","Sim","Relacionar temas/quadros",""
"2021/05/17 2:58:53 PM GMT-3","1","25-35","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:00 PM GMT-3","1","Menos de 20","Não","","Sim","Funções","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:17 PM GMT-3","1","25-35","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:26 PM GMT-3","1","25-35","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:59:37 PM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:38 PM GMT-3","1","20-25","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:59:49 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 2:59:49 PM GMT-3","1","Menos de 20","Não","","Sim","Estruturas de repetição (for/while)","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:50 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:55 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 2:59:59 PM GMT-3","1","Mais de 35","Sim","Ciências Humanas","Sim","Variáveis","Sim","Relacionar temas/quadros",""
"2021/05/17 3:00:28 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 3:01:00 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Questionário",""
"2021/05/17 3:01:24 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 3:02:27 PM GMT-3","1","Menos de 20","Sim","Ciências Exatas","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 3:03:05 PM GMT-3","1","Menos de 20","Sim","Ciências Humanas","Sim","Arrays (vetores/matrizes)","Não","Gosto de criar algoritmos com alguma finalidade e aprender com outros exemplos.","Gosto de aprender criando algoritmos com alguma finalidade e vendo exemplos de como fazer."
"2021/05/17 3:03:50 PM GMT-3","1","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","Questionário",""
"2021/05/17 3:07:53 PM GMT-3","1","Menos de 20","Não","","Sim","Procedimentos","Sim","Completar frases",""
"2021/05/17 4:38:28 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:04:09 PM GMT-3","1","20-25","Sim","Ciências Humanas","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:04:38 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:04:50 PM GMT-3","1","25-35","Sim","Ciências Humanas","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:04:51 PM GMT-3","1","Menos de 20","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:04:57 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Relacionar temas/quadros",""
"2021/05/17 9:05:05 PM GMT-3","2","Mais de 35","Sim","Ciências Exatas","Sim","Arrays (vetores/matrizes)","Sim","Questionário",""
"2021/05/17 9:05:06 PM GMT-3","1","25-35","Não","","Sim","Variáveis","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:05:06 PM GMT-3","1","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:05:20 PM GMT-3","1","20-25","Não","","Não","","Sim","Com o a mão na massa, utilizei o VISUALG","gosto de aprender e ver o resultado, o VISUALG me proporcionou isso!"
"2021/05/17 9:05:21 PM GMT-3","2","25-35","Sim","Ciências Exatas","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:05:27 PM GMT-3","1","Menos de 20","Não","","Sim","Funções","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:05:36 PM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:05:54 PM GMT-3","1","20-25","Não","","Não","","Sim","Questionário",""
"2021/05/17 9:05:55 PM GMT-3","1","20-25","Não","","Sim","Estruturas de repetição (for/while)","Sim","Questionário",""
"2021/05/17 9:09:53 PM GMT-3","1","20-25","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 9:10:46 PM GMT-3","2","20-25","Sim","","Sim","Arrays (vetores/matrizes)","Sim","Desenvolver juntamente dos professores, pra compreensão de lógica usada.","Fiz o começo da mesma faculdade em outra universidade, mas desisti por ser particular, e aprendi com mais facilidade, quando fiz o código ao mesmo tempo que os professores, acredito que seria mais de boas pra pegar a lógica"
"2021/05/17 9:11:01 PM GMT-3","1","Mais de 35","Não","","Sim","Arrays (vetores/matrizes)","Sim","Questionário",""
"2021/05/17 9:11:30 PM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:13:34 PM GMT-3","1","20-25","Não","","Sim","Arrays (vetores/matrizes)","Sim","Relacionar temas/quadros",""
"2021/05/17 9:19:47 PM GMT-3","1","20-25","Não","","Sim","Procedimentos","Sim","Completar frases",""
"2021/05/17 10:10:54 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/17 10:22:58 PM GMT-3","1","25-35","Sim","Ciências Exatas","Sim","Procedimentos","Sim","Relacionar temas/quadros",""
"2021/05/19 10:26:48 PM GMT-3","1","Menos de 20","Não","","Não","","Sim","Encontrar erros em um modelo",""
"2021/05/21 4:27:30 PM GMT-3","1","Menos de 20","Não","","Sim","Funções","Sim","Encontrar erros em um modelo",""